Questões Corretas,Questões Erradas
"9 ALESE  2018 O preâmbulo da Constituição Federal brasileira é norma de reprodução obrigatória nas Constituições Estaduais. Comentários: Segundo o STF, o preâmbulo da Constituição Federal brasileira não é norma de reprodução obrigatória nas Constituições Estaduais, por não ser norma constitucional. Questão errada. DPE MS  2014 O preâmbulo da Constituição não constitui norma central, não tendo força normativa e, consequentemente, não servindo como paradigma para a declaração de inconstitucionalidade . Comentários: O preâmbulo não tem força normativa e, em razão di sso, não serve de paradigma para o controle de constitucionalidade","9 ALESE  2018 O preâmbulo da Constituição Federal brasileira é norma de reprodução obrigatória nas Constituições Estaduais. Comentários: Segundo o STF, o preâmbulo da Constituição Federal brasileira não é norma de reprodução obrigatória nas Constituições Estaduais, por não ser norma constitucional"
"15  uma lei: o direito de greve, na iniciativa privada, é norma de eficácia contida prevista no art. 9º, da CF88. Desde a promulgação da CF88, o direito de greve já pode ser exercido pelos trabalhadores do regime celetista; no entanto, a lei poderá restringi lo, definindo os  serviços ou atividades essenciais  e dispondo sobre  o atendimento das necessidades inadiáveis da comunidade . Art. 9º É assegurado o direito de greve, competindo aos trabalhadores decidir sobre a oportunidade de exercê lo e sobre os interesses que devam por meio dele defender.  1º  A lei definirá os serviços ou atividades essenciais e disporá sobre o atendimento das ne cessidades inadiáveis da comunidade.  outra norma constitucional : o art. 139, da CF88 prevê a possibilidade de que sejam impostas restrições a certos direitos e garantias fundamentais durante o estado de sítio.  conceitos ético jurídicos indeterminados : o art. 5º, inciso XXV, da CF88 estabelece que, no caso de iminente perigo público , o Estado poderá requisitar propriedade particular. Esse é um conceito ético  jurídico que poderá, então, limitar o direito de propriedade. c possuem aplicabilidade dir eta não dependem de norma regulamentadora para produzir seus efeitos, imediata estão aptas a produzir todos os seus efeitos desde o momento em que é promulgada a Constituição e possivelmente não integral estão sujeitas a limitações ou restrições. Advogado FUNASG  2015 As normas de eficácia contida têm eficácia plena até que seja materializado o fator de restrição imposto pela lei infraconstitucional. Comentários: As normas de eficácia contida são restringíveis por lei infraconstitucional. Até que essa lei seja publicada, a norma de eficácia contida terá aplicação integral",13 Não há hierarquia entre lei ordinária e lei complementar. Elas têm o mesmo nível hierárqu ico. Também não há hierarquia entre lei federal e lei estadual
18 Comentários: Essa é mesmo uma norma de eficácia limitada. Exige se a edição de lei para criar a extinguir Ministérios e órgãos da admi nistração pública,"18 Comentários: Essa é mesmo uma norma de eficácia limitada. Exige se a edição de lei para criar a extinguir Ministérios e órgãos da admi nistração pública. Questão correta. Advogado FUNASG  2015 As normas constitucionais de eficácia limitada são aquelas que, no momento em que a Constituição é promulgada, não têm o condão de produzir todos os seus efeitos, necessitando de lei integrativa infraconstitucional. Comentários: É isso mesmo! As normas de eficácia limitada não produzem todos os seus efeitos no momento em que a Constituição é promulgada. Para produzirem todos os seus efeitos, elas dependem da edição de lei regulamentadora. Questão correta. CNMP  2015 As normas constitucionais de aplicabilidade diferida e mediata, que não são dotadas de eficácia jurídica e não vinculam o legislador infraconstitucional aos seus vetores, são de eficácia contida. Comentários: As normas de eficácia limitada é que têm aplicabilidade diferida e mediata. Cabe destacar que as normas de eficácia limitada possuem eficácia jurídica e vinculam o legislador infraconstitucional"
"Advogado FUNASG  2015 As normas constitucionais de eficácia limitada são aquelas que, no momento em que a Constituição é promulgada, não têm o condão de produzir todos os seus efeitos, necessitando de lei integrativa infraconstitucional. Comentários: É isso mesmo! As normas de eficácia limitada não produzem todos os seus efeitos no momento em que a Constituição é promulgada. Para produzirem todos os seus efeitos, elas dependem da edição de lei regulamentadora","23 Não. A lei de 1980 já nasceu inválida porque incompatível com a Constituição da época. Assim, não poderá ser recepcionada pela nova Constituição; com efeito, um dos requisitos essenciais para que uma norma seja recepcionada é que ela seja válida perante a Constituição de sua época Constituição pretérita. e Alteração da repartição constitucional de competências pela nova Constituição : O Poder Constituinte Originário é ilimitado e pode, inclusive, fazer alteraç ões na repartição de competências da federação . Uma determinada matéria que, na Constituição pretérita, era da competência legislativa dos Estados, pode tornar se, com a nova Constituição, competência da União. O contrário também poderá ocorrer: uma matéri a de competência da União pode, com a nova Constituição, passar a ser competência dos Estados. Imagine, então, que um tema X seja competência da União face à Constituição pretérita. A União, por consequência, edita uma lei regulando o assunto. Com o adv ento da nova Constituição, o tema X passa a ser da competência dos Estados. Essa lei será, então, recepcionada pela nova Constituição , desde que com ela materialmente compatível , como se tivesse sido editada pelo ente competente para tratar da matéria . A lei federal será recepcionada, portanto, como lei estadual . Agora, suponha o caso inverso. O tema Y é competência dos Estados face à Constituição pretérita. Os 26 Estados brasileiros e o Distrito Federal editam, então, leis estaduais tratando do tema. C om a nova Constituição, o tema Y passa a ser da competência da União. Será que as 27 leis estaduais serão recepcionadas como leis federais? Por lógica, elas não serão recepcionadas pela nova Constituição. Caso isso acontecesse, teríamos 27 leis regulando a mesma matéria e, possivelmente, de forma diversa, gerando total insegurança jurídica. A conclusão desse nosso raciocínio só pode ser a seguinte: a recepção somente será possível se houver alteração de competência de um ente de maior grau para um ente d e menor grau . Exemplo: uma lei federal vigente sob a égide da Constituição pregressa poderá ser recepcionada como estadual pela nova Carta, se esta estabelecer que os Estados são competentes para disciplinar a matéria. ALESE  2018 Com a promulgação de uma nova Constituição, a legislação infraconstitucional anterior perde completa e integralmente a sua validade. Comentários: Com a promulgação de uma nova Constituição, as normas com ela materialmente compatíveis são recepcionadas, en quanto as incompatíveis são revogadas"
"24 PGM Fortaleza  2017 Com a promulgação da CF, foram recepcionadas, de forma implícita, as normas infraconstitucionais anteriores de conteúdo compatível com o novo texto constitucional. Comentários: As normas infraconstitucionais editadas na vigência da Constituição pretérita materialmente compatíveis com a nova Constitui ção foram por ela recepcionadas. Vale a pena ressaltar que a recepção depende somente de que exista uma compatibilidade material compatibilidade quanto ao conteúdo entre as normas infraconstitucionais anteriores e a nova Constituição; a compatibilidade f ormal não é necessária",PGM Fortaleza  2017 Não foram recepcionadas pela atual ordem jurídica leis ordinárias que regulavam temas para os quais a CF passou a exigir regramento por lei complementar. Comentários: As leis or dinárias que regulavam temas cujo regramento a CF88 passou a exigir que se desse por lei complementar foram recepcionadas pela Carta Magna com status de lei complementar
"29 religião ou orientação sexual. No Brasil, considera se que os discursos de ódio não estão amparados pela liberdade de manifestação de pensamento. FUB  2015 O pluralismo político, fundamento da República Federativa do Brasil, é pautado pela tolerância a ideologias diversas, o que exclui discursos de ódio, não amparados pela liberdade de manifestação do pensamento . Comentários: O discurso de ódio não está protegido pela liberdade de manifestação de pensamento. Por isso, o pluralismo político exclui discursos de ódio","29 religião ou orientação sexual. No Brasil, considera se que os discursos de ódio não estão amparados pela liberdade de manifestação de pensamento. FUB  2015 O pluralismo político, fundamento da República Federativa do Brasil, é pautado pela tolerância a ideologias diversas, o que exclui discursos de ódio, não amparados pela liberdade de manifestação do pensamento . Comentários: O discurso de ódio não está protegido pela liberdade de manifestação de pensamento. Por isso, o pluralismo político exclui discursos de ódio. Questão correta. TJSE  2014 A dignidade da pessoa humana, princípio fundamental da República Federativa do Brasil, promove o direito à vida digna em sociedade, em prol do bem comum, fazendo prevalecer o interesse coletivo em detrimento do direito individual. Comentários: A dignidade da pessoa humana é um fundamento da República Federativa do Brasil. Enquadra se como princípio fundamental , assim como todos os outros inscritos dos art. 1º a art. 4º, CF88. Esse princípio coloca o indivíduo o ser humano como a preocupação central do Estado . Assim, não há que se falar em prevalência do interesse coletivo em detrimento do direito individual"
"32 No Brasil, existe uma democracia semidireta ou participativa , assim caracterizada pelo fato de que o povo, além de participar das decisões políticas por meio de seus representantes eleitos, também possui instrumentos de participaçã o direta. São formas de participação direta do povo na vida política do Brasil o plebiscito, o referendo, a iniciativa popular de leis e ação popular. Esses mecanismos são o que a doutrina chama institutos da democracia semidireta. Cuidado para não co nfundir plebiscito e referendo ! É simples: o plebiscito é convocado antes da criação da norma ato legislativo ou administrativo para que os cidadãos, por meio do voto, aprovem ou não a questão que lhes foi submetida. Já o referendo é convocado após a edição da norma, devendo esta ser ratificada pelos cidadãos para ter validade. CGM João Pessoa  2018 A soberania, que consiste em um poder político su premo e independente, é um dos fundamentos da República Federativa do Brasil. Comentários: A soberania é um poder que não reconhece nenhum outro acima dele próprio. Pode se dizer, portanto, que é um poder político supremo e independente. A soberania é um d os fundamentos da República Federativa do Brasil","32 No Brasil, existe uma democracia semidireta ou participativa , assim caracterizada pelo fato de que o povo, além de participar das decisões políticas por meio de seus representantes eleitos, também possui instrumentos de participaçã o direta. São formas de participação direta do povo na vida política do Brasil o plebiscito, o referendo, a iniciativa popular de leis e ação popular. Esses mecanismos são o que a doutrina chama institutos da democracia semidireta. Cuidado para não co nfundir plebiscito e referendo ! É simples: o plebiscito é convocado antes da criação da norma ato legislativo ou administrativo para que os cidadãos, por meio do voto, aprovem ou não a questão que lhes foi submetida. Já o referendo é convocado após a edição da norma, devendo esta ser ratificada pelos cidadãos para ter validade. CGM João Pessoa  2018 A soberania, que consiste em um poder político su premo e independente, é um dos fundamentos da República Federativa do Brasil. Comentários: A soberania é um poder que não reconhece nenhum outro acima dele próprio. Pode se dizer, portanto, que é um poder político supremo e independente. A soberania é um d os fundamentos da República Federativa do Brasil. Questão correta. FUB  2015 O regime político adotado na CF caracteriza a República Federativa do Brasil como um estado democrático de direito em que se conjuga o princípio representativo com a participa ção direta do povo por meio do voto, do plebiscito, do re ferendo e da iniciativa popular. Comentários: No Brasil, vigora uma democracia semidireta, na qual se conjuga o princípio representativo com a participação direta do povo através do voto, plebiscit o, referendo e iniciativa popular. Questão correta. Câmara dos Deputados  2014 A democracia brasileira é indireta, ou representativa, haja vista que o poder popular se expressa por meio de representantes eleitos, que recebem mandato para a elaboração das leis e a fiscalização dos atos estatais. Comentários: No Brasil, vigora uma de mocracia semidireta"
"FUB  2015 O regime político adotado na CF caracteriza a República Federativa do Brasil como um estado democrático de direito em que se conjuga o princípio representativo com a participa ção direta do povo por meio do voto, do plebiscito, do re ferendo e da iniciativa popular. Comentários: No Brasil, vigora uma democracia semidireta, na qual se conjuga o princípio representativo com a participação direta do povo através do voto, plebiscit o, referendo e iniciativa popular","33 Polícia Federal  2014 A República Federativa do Brasil, formada pela união indissolúvel dos estados, municípios e Distrito Federal DF, adota a federação como forma de Estado. Comentários: A forma de Estado adotada pela RFB é a federação. Questão correta. TRE AM  2014 O Bra sil adotou como sistema de govern o a República, o presidencialismo como forma de governo e a Federação como forma de Estado . Comentários: O examinador inverteu as coisas. A forma de gov erno adotado pelo Brasil é a República; o presidencialismo é o sistema de governo"
"33 Polícia Federal  2014 A República Federativa do Brasil, formada pela união indissolúvel dos estados, municípios e Distrito Federal DF, adota a federação como forma de Estado. Comentários: A forma de Estado adotada pela RFB é a federação","36 SEFAZ RS  2019 O Legislativo, o Executivo e o Judiciário são poderes harmônicos e preservam o equilíbrio no exercício das funções estatais essenciais, coibindo o sistema de freios e contrapesos. Comentários: O Legislativo, o Executivo e o Judiciário são poderes independentes e harmônicos entre si. Não se pode falar, entretanto, que a atuação deles  coíbe o sistema de freios e contrapesos . Ao contrário, a independência dos poderes não é absoluta, justamente em virtude dos mecanismos de cont role recíprocos entre os poderes sistema de freios e contrapesos"
"8 que as normas que os instituem não podem ser revogadas ou substituídas por outras que os diminuam, restrinjam ou suprimam. Segundo Canotilho, baseado no princípio do não retrocesso social , os direitos sociais , uma vez tendo sido previstos, passam a constituir tanto uma garantia institucional quanto um direito subjetivo . Isso limita o legislador e exige a realização de uma política condizente com esses direitos, sendo inconstitucionais quaisquer medidas estatais que, sem a criaç ão de outros esquemas alternativos ou compensatórios, anulem, revoguem ou aniquilem o núcleo essencial desses direitos. Os direitos fundamentais possuem uma dupla dimensão: i dimensão subjetiva e; ii dimensão objetiva. Na dimensão subjetiva , os direitos fundamentais são direitos exigíveis perante o Estado : as pessoas podem exigir que o Estado se abstenha de intervir indevidamente na esfera privada direitos de 1ª geração ou que o Estado atue ofertando prestações positivas, através de políticas e serviço s públicos direitos de 2ª geração. Já na dimensão objetiva , os direitos fundamentais são vistos como enunciados dotados de alta carga valorativa : eles são qualificados como princípios estruturantes do Estado, cuja eficácia se irradia para todo o ordename nto jurídico. TJPR  2019 Considerando se o surgimento e a evolução dos direitos fundamentais em gerações, é correto afirmar que o direito ao meio ambiente ecologicamente equilibrado é considerado, pela doutrina, direito de segunda geração. Comentários: O direito ao meio ambiente ecologicamente equilibrado é direito de 3ª geração. Questão errada. PGE PE  2018 Os direitos destinados a assegurar a soberania popular mediante a possibilidade de interferência direta ou indireta nas decisões po líticas do Estado são direitos políticos de primeira dimensão. Comentários: São direitos de 1ª geração os direitos civis e políticos. Os direitos políticos são aqueles que estão relacionados à participação do indivíduo na vida política do Estado","MP PI  2018 Ao ser estabelecido, no texto constitucional, que os Poderes Legislativo, Executivo e Judiciário são independentes e harmônicos entre si, assimilaram se ao ordenamento jurídico brasileiro as teorias da separação de poderes e de freios e contrapesos, desenvolvidas por Maquiavel, na obra O Príncipe. Comentários: A CF88 consagra o princípio da separação de poderes . Ao fazê lo, estabelece que os Poderes Legisla tivo, Executivo e Judiciário são independentes e harmônicos entre si. A independência entre os Poderes, todavia, não é absoluta, sendo limitada por controles recíprocos entre os Poderes  sistema de freios e contrapesos . A teoria da separação de podres f oi desenvolvida por Montesquieu e não por Maquiavel!"
